自动扫描新源_183.234.143.5,#genre#
频道_1,http://183.234.143.5:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
频道_2,http://183.234.143.5:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
频道_3,http://183.234.143.5:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
频道_4,http://183.234.143.5:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
频道_5,http://183.234.143.5:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
频道_6,http://183.234.143.5:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
频道_7,http://183.234.143.5:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
频道_8,http://183.234.143.5:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
频道_9,http://183.234.143.5:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
频道_10,http://183.234.143.5:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
频道_11,http://183.234.143.5:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
频道_12,http://183.234.143.5:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
频道_13,http://183.234.143.5:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
频道_14,http://183.234.143.5:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
频道_15,http://183.234.143.5:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
频道_16,http://183.234.143.5:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
频道_17,http://183.234.143.5:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
频道_18,http://183.234.143.5:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
频道_19,http://183.234.143.5:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
频道_20,http://183.234.143.5:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
频道_21,http://183.234.143.5:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
频道_22,http://183.234.143.5:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
频道_23,http://183.234.143.5:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
频道_24,http://183.234.143.5:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
频道_25,http://183.234.143.5:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
频道_26,http://183.234.143.5:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
频道_27,http://183.234.143.5:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
频道_28,http://183.234.143.5:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
频道_29,http://183.234.143.5:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
频道_30,http://183.234.143.5:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
频道_31,http://183.234.143.5:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
频道_32,http://183.234.143.5:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
频道_33,http://183.234.143.5:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
频道_34,http://183.234.143.5:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
频道_35,http://183.234.143.5:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
频道_36,http://183.234.143.5:85/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
